"period_year" "period_no" "period_week" "item_no" "u_sales"
"4635" 2014 3 10 9910 533
"4636" 2013 3 11 12387 4
"4637" 2013 1 5 55842 1050
"4638" 2014 1 2 73222 6
"4639" 2014 2 6 10487 2
"4640" 2013 2 8 8869 185
"4641" 2015 3 12 52244 29
"4642" 2015 3 10 17108 23
"4643" 2015 2 9 6589 154
"4644" 2014 3 11 10581 3
"4645" 2013 2 9 11014 1
"4646" 2014 1 5 12058 18
"4647" 2013 2 6 31643 5
"4648" 2014 1 3 49196 728
"4649" 2014 2 6 9860 4731
"4650" 2013 2 6 15805 15
"4651" 2015 2 7 20315 2
"4652" 2013 1 3 74706 46
"4653" 2013 2 8 9470 5
"4654" 2015 2 8 52284 93
"4655" 2015 2 9 49523 11
"4656" 2014 1 1 12743 7
"4657" 2013 1 5 45603 3
"4658" 2015 3 12 18012 149
"4659" 2015 3 10 9425 257
"4660" 2015 1 3 15302 20
"4661" 2015 1 1 49503 -1
"4662" 2013 3 11 15192 8
"4663" 2014 2 8 74740 1
"4664" 2014 2 7 11238 4
"4665" 2015 1 5 30292 18
"4666" 2014 1 2 10689 2
"4667" 2014 3 10 13843 13
"4668" 2013 2 8 17024 27
"4669" 2014 1 5 8915 11
"4670" 2013 1 4 11195 50
"4671" 2015 2 8 45835 560
"4672" 2015 2 9 10943 3
"4673" 2013 3 11 36546 2
"4674" 2015 1 3 11632 109
"4675" 2013 1 5 8832 82
"4676" 2013 1 2 48250 5
"4677" 2014 3 10 9515 13
"4678" 2015 3 10 45704 350
"4679" 2013 1 1 13138 1
"4680" 2014 1 2 16600 106
"4681" 2013 1 3 7507 4
"4682" 2014 3 10 10511 2
"4683" 2013 3 10 12211 6
"4684" 2015 1 2 4323 1
"4685" 2015 3 11 76488 4
"4686" 2014 3 10 9406 80
"4687" 2014 2 7 1537 3
"4688" 2013 2 8 13798 9
"4689" 2014 3 11 58321 49
"4690" 2013 3 12 8501 4
"4691" 2013 1 4 10488 23
"4692" 2014 2 9 11936 1812
"4693" 2015 2 6 91798 2
"4694" 2013 1 1 9912 131
"4695" 2013 1 1 48864 15
"4696" 2013 2 6 16203 1
"4697" 2015 3 11 51802 3
"4698" 2014 1 5 6399 1
"4699" 2014 1 3 30467 17
"4700" 2014 1 4 48184 391
"4701" 2015 1 4 28522 8
"4702" 2015 1 5 30186 164
"4703" 2013 1 1 9408 7
"4704" 2013 2 7 11235 8
"4705" 2013 1 1 13845 18
"4706" 2013 1 3 11440 496
"4707" 2014 3 11 48142 131
"4708" 2014 3 12 8922 129
"4709" 2013 3 10 8278 220
"4710" 2013 2 9 28063 18
"4711" 2013 2 7 52254 1
"4712" 2013 1 2 9395 744
"4713" 2014 1 3 54958 1112
"4714" 2013 1 1 12863 90
"4715" 2015 2 8 6316 3
"4716" 2013 2 6 20720 1
"4717" 2014 2 6 8881 124
"4718" 2014 2 6 8174 20
"4719" 2014 1 5 8709 6
"4720" 2013 2 6 58341 330
"4721" 2014 3 10 19734 9
"4722" 2013 3 11 7518 19
"4723" 2014 1 3 74795 3
"4724" 2015 2 7 74753 20
"4725" 2014 1 5 17053 10
"4726" 2015 2 7 11619 15
"4727" 2014 3 11 17050 51
"4728" 2013 2 6 11955 374
"4729" 2013 3 10 75560 833
"4730" 2015 1 5 13710 1
"4731" 2014 1 3 11005 3
"4732" 2015 2 9 9795 74
"4733" 2015 2 7 50242 261
"4734" 2015 2 8 19426 32
"4735" 2014 3 10 9243 10
"4736" 2013 1 5 12052 31
"4737" 2015 2 7 10491 2
"4738" 2014 3 10 8224 430
"4739" 2014 2 7 44348 10
"4740" 2015 3 11 8771 21
"4741" 2014 1 1 8501 1
"4742" 2014 1 3 10407 14
"4743" 2014 3 11 76569 1
"4744" 2014 1 3 18851 13
"4745" 2014 1 2 79445 4
"4746" 2013 2 6 41713 1
"4747" 2014 2 8 8869 358
"4748" 2013 3 12 31721 155
"4749" 2015 3 12 22426 100
"4750" 2014 2 9 31624 849
"4751" 2015 3 11 20258 50
"4752" 2014 2 6 36621 6
"4753" 2014 3 11 74757 0
"4754" 2014 1 2 76328 160
"4755" 2013 3 12 11701 1
"4756" 2013 1 4 10511 3
"4757" 2013 2 9 48936 5
"4758" 2014 1 1 11830 1
"4759" 2013 2 7 52248 4
"4760" 2014 2 6 9800 1087
"4761" 2014 2 9 9961 88
"4762" 2013 1 1 11240 4
"4763" 2015 1 4 34135 106
"4764" 2013 1 1 58021 4
"4765" 2013 1 3 7530 10
"4766" 2013 3 12 15325 1
"4767" 2015 1 4 48244 10
"4768" 2015 1 2 39978 54
"4769" 2013 3 12 46998 9
"4770" 2014 3 11 10784 11
"4771" 2014 1 4 9950 25
"4772" 2013 3 11 8829 105
"4773" 2015 1 3 8661 3
"4774" 2015 3 11 10079 18
"4775" 2013 2 7 11716 1
"4776" 2014 1 3 48237 33
"4777" 2014 1 5 15032 4
"4778" 2014 2 8 12722 36
"4779" 2014 1 3 9485 78
"4780" 2015 2 6 11864 82
"4781" 2014 3 11 48935 3
"4782" 2014 3 10 7803 9
"4783" 2014 2 7 31633 69
"4784" 2015 1 4 1343 2
"4785" 2013 3 10 8965 17
"4786" 2015 1 2 52461 24
"4787" 2014 2 6 48214 6
"4788" 2014 2 6 13026 42
"4789" 2013 3 10 50445 150
"4790" 2014 2 6 8878 7
"4791" 2014 1 3 9196 1
"4792" 2014 2 6 16143 4
"4793" 2015 2 8 18825 1
"4794" 2015 3 10 8801 4
"4795" 2015 1 2 58312 8
"4796" 2014 3 11 52264 3
"4797" 2013 1 5 34282 15
"4798" 2015 2 9 11627 29
"4799" 2015 3 10 11426 22
"4800" 2015 1 2 10423 30
"4801" 2015 2 6 16793 10
"4802" 2014 2 6 31277 6
"4803" 2015 2 7 74779 2
"4804" 2014 1 5 12118 6
"4805" 2015 1 2 31671 310
"4806" 2014 2 8 17050 18
"4807" 2013 3 11 11056 7
"4808" 2015 1 3 20025 27
"4809" 2013 3 12 35116 2
"4810" 2013 3 11 58415 500
"4811" 2015 2 6 10341 4
"4812" 2014 3 11 99984 -2
"4813" 2014 2 6 9691 4
"4814" 2015 2 7 8290 14
"4815" 2015 2 6 30115 -4
"4816" 2013 3 10 9177 7
"4817" 2013 2 8 12470 10
"4818" 2014 2 9 10774 20
"4819" 2015 1 4 12040 4
"4820" 2014 1 5 45603 4
"4821" 2014 2 6 15330 1
"4822" 2014 3 11 817 10
"4823" 2014 3 12 8945 77
"4824" 2013 1 2 11994 8
"4825" 2015 1 1 11066 12
"4826" 2015 3 10 2169 20
"4827" 2014 2 6 53143 2
"4828" 2014 1 4 11052 1
"4829" 2014 3 12 39805 194
"4830" 2013 3 10 35185 14
"4831" 2014 1 1 19733 4
"4832" 2014 2 6 19767 218
"4833" 2014 3 12 11664 1
"4834" 2013 2 7 58388 90
"4835" 2013 2 6 31812 2
"4836" 2014 1 5 6064 18
"4837" 2013 1 3 10046 50
"4838" 2013 3 12 10396 18
"4839" 2015 1 1 35185 13
"4840" 2015 2 6 41828 750
"4841" 2013 1 5 57445 24
"4842" 2015 1 1 8856 295
"4843" 2015 2 9 11736 12
"4844" 2015 3 10 75399 3
"4845" 2014 3 12 13791 74
"4846" 2013 2 8 8929 2
"4847" 2015 3 11 39814 35
"4848" 2014 2 6 74746 8
"4849" 2013 3 11 74794 5
"4850" 2013 2 7 8573 279
"4851" 2014 1 1 10390 4
"4852" 2015 3 10 74984 2
"4853" 2014 1 1 31638 9
"4854" 2015 2 6 92276 15
"4855" 2014 2 9 11063 30
"4856" 2015 1 4 8814 621
"4857" 2015 1 2 2139 1
"4858" 2013 3 11 31677 55
"4859" 2014 1 2 11061 21
"4860" 2014 2 6 8277 109
"4861" 2014 1 5 41275 2
"4862" 2014 2 7 21537 0
"4863" 2014 2 8 8082 3
"4864" 2013 1 5 20605 13
"4865" 2015 1 5 36598 22
"4866" 2015 3 12 8005 8
"4867" 2014 3 11 8683 1
"4868" 2013 1 1 9345 45
"4869" 2015 3 10 8887 67
"4870" 2013 3 10 41288 16
"4871" 2014 1 2 8293 2
"4872" 2014 3 12 19636 5
"4873" 2014 3 12 48853 40
"4874" 2013 2 9 19344 18
"4875" 2015 1 1 31126 10
"4876" 2013 1 2 9916 7
"4877" 2013 2 9 92285 13
"4878" 2013 1 3 58433 50
"4879" 2013 2 9 9457 115
"4880" 2015 3 10 76484 1
"4881" 2013 1 1 9866 3214
"4882" 2015 2 7 34135 102
"4883" 2015 1 1 31724 26
"4884" 2014 3 11 12327 46
"4885" 2015 3 11 30185 390
"4886" 2013 2 8 40021 1
"4887" 2014 2 7 9472 102
"4888" 2013 2 9 19942 25
"4889" 2015 1 2 41661 3
"4890" 2013 1 2 74779 1
"4891" 2014 1 4 11032 4
"4892" 2014 3 12 48255 7
"4893" 2014 1 5 8085 4
"4894" 2015 1 2 17064 1
"4895" 2013 3 10 74727 10
"4896" 2014 1 5 49353 136
"4897" 2015 3 12 16140 7
"4898" 2015 3 12 72851 9
"4899" 2015 2 9 8962 19
"4900" 2015 1 4 74719 0
"4901" 2014 1 2 8814 866
"4902" 2014 3 10 48370 7
"4903" 2014 1 5 9974 40
"4904" 2014 3 12 39885 97
"4905" 2014 1 2 12040 6
"4906" 2013 2 6 74760 1
"4907" 2013 3 11 31574 655
"4908" 2014 2 6 17056 62
"4909" 2014 2 7 11882 11
"4910" 2013 1 5 8557 29
"4911" 2014 1 2 11519 252
"4912" 2013 3 11 47077 208
"4913" 2015 3 12 11915 55
"4914" 2014 3 10 8871 50
"4915" 2013 3 11 74777 4
"4916" 2015 3 10 10175 9
"4917" 2015 2 8 10830 1
"4918" 2015 1 1 48169 5
"4919" 2015 2 7 10079 18
"4920" 2014 3 12 48962 4
"4921" 2013 3 12 11266 2
"4922" 2013 3 10 18016 19
"4923" 2014 1 5 10790 23
"4924" 2014 1 3 7576 74
"4925" 2013 2 6 51806 28
"4926" 2015 1 3 8867 52
"4927" 2013 1 4 12363 11
"4928" 2015 1 5 1719 1
"4929" 2015 3 10 9780 1
"4930" 2015 3 11 8831 2
"4931" 2013 2 8 17067 807
"4932" 2013 1 2 41755 2
"4933" 2013 2 6 9708 4
"4934" 2013 1 2 10912 4
"4935" 2013 1 5 9679 4
"4936" 2014 2 8 18381 13
"4937" 2014 3 11 46974 204
"4938" 2015 1 4 9750 1
"4939" 2014 1 3 10381 23
"4940" 2015 1 4 52246 9
"4941" 2013 1 4 7511 3
"4942" 2014 2 7 30843 161
"4943" 2015 3 12 11626 68
"4944" 2015 3 10 9468 301
"4945" 2013 1 3 31812 50
"4946" 2014 1 2 13065 6
"4947" 2014 2 8 15049 59
"4948" 2014 2 9 8876 19
"4949" 2014 1 4 14965 2
"4950" 2013 2 9 20835 45
"4951" 2014 3 10 8055 5
"4952" 2013 3 10 8865 2095
"4953" 2015 2 6 49010 18
"4954" 2014 1 3 54477 8
"4955" 2014 1 2 41652 8
"4956" 2015 1 3 48077 3
"4957" 2013 3 11 1727 1
"4958" 2013 1 1 13799 4
"4959" 2015 1 5 50667 2
"4960" 2014 1 3 30218 17
"4961" 2013 2 7 8865 2135
"4962" 2014 1 3 74746 4
"4963" 2013 3 12 8773 101
"4964" 2013 1 1 12803 9
"4965" 2015 3 10 92279 7
"4966" 2015 3 12 92284 8
"4967" 2014 2 7 19333 45
"4968" 2014 3 11 41653 1
"4969" 2014 2 6 13335 1
"4970" 2013 3 11 18381 95
"4971" 2013 3 12 52282 39
"4972" 2014 1 2 11728 31
"4973" 2015 1 4 12346 2
"4974" 2014 2 7 48971 316
"4975" 2015 1 5 19764 23
"4976" 2013 1 5 8162 206
"4977" 2015 2 7 52094 88
"4978" 2015 1 4 11662 230
"4979" 2013 2 7 74727 -1
"4980" 2015 1 2 44466 70
"4981" 2013 1 5 11992 15
"4982" 2014 2 8 10332 6
"4983" 2013 2 8 20605 11
"4984" 2013 3 10 52277 56
"4985" 2013 1 2 50603 65
"4986" 2015 2 8 657 22
"4987" 2015 1 5 1324 5
"4988" 2015 1 2 27861 236
"4989" 2013 2 6 6591 30
"4990" 2013 3 12 9457 88
"4991" 2013 1 4 50800 10
"4992" 2015 1 3 17211 37
"4993" 2015 2 7 9658 59
"4994" 2013 2 9 9769 435
"4995" 2015 1 1 11684 23
"4996" 2013 2 7 9649 5
"4997" 2015 1 1 16307 5
"4998" 2015 1 2 48219 2
"4999" 2013 1 2 13849 100
"5000" 2013 1 3 16309 4
"5001" 2015 1 1 28212 36
"5002" 2013 1 2 11854 1
"5003" 2014 1 1 19633 6
"5004" 2013 2 6 11440 431
"5005" 2013 1 3 11165 119
"5006" 2013 1 5 10074 133
"5007" 2013 1 5 17213 16
"5008" 2013 1 5 13618 88
"5009" 2014 3 11 30867 25
"5010" 2013 3 11 9699 145
"5011" 2013 1 4 12758 -2
"5012" 2015 2 6 7516 1
"5013" 2013 1 3 48357 320
"5014" 2014 1 3 9860 4008
"5015" 2014 2 7 12672 315
"5016" 2015 3 11 74693 296
"5017" 2015 3 10 76172 1
"5018" 2014 3 12 8673 19
"5019" 2014 2 9 48249 3
"5020" 2013 1 2 13345 15
"5021" 2013 1 3 8546 1
"5022" 2015 3 10 10513 111
"5023" 2014 3 12 17220 1184
"5024" 2014 1 5 30223 851
"5025" 2015 1 5 8692 31
"5026" 2015 1 2 9421 90
"5027" 2014 2 6 5884 1
"5028" 2014 3 10 11988 2
"5029" 2015 1 5 9399 10
"5030" 2015 1 3 16318 13
"5031" 2014 2 7 54401 2350
"5032" 2015 3 12 75367 17
"5033" 2015 1 5 10401 2
"5034" 2013 2 8 31568 685
"5035" 2013 2 7 8049 7
"5036" 2014 2 9 30121 6
"5037" 2015 1 4 12976 20
"5038" 2014 1 5 13618 69
"5039" 2014 1 4 11848 3
"5040" 2015 2 8 10332 1
"5041" 2014 2 6 6591 76
"5042" 2015 3 11 7517 3
"5043" 2014 1 1 8956 23
"5044" 2013 1 2 52094 86
"5045" 2014 3 12 18348 62
"5046" 2013 2 6 8898 41
"5047" 2015 3 11 30285 258
"5048" 2015 3 11 12973 49
"5049" 2013 2 8 8093 14
"5050" 2014 3 12 8564 12
"5051" 2013 2 6 19466 19
"5052" 2013 1 5 8869 224
"5053" 2015 2 7 49552 36
"5054" 2013 2 7 10777 23
"5055" 2015 2 8 8732 21
"5056" 2015 2 9 52291 6
"5057" 2013 2 8 8202 304
"5058" 2013 2 9 48249 1
"5059" 2013 3 11 17067 918
"5060" 2013 3 12 12580 11
"5061" 2013 2 7 9177 4
"5062" 2015 2 7 76571 1
"5063" 2014 2 7 41494 9
"5064" 2013 2 7 9961 85
"5065" 2013 1 1 12282 5
"5066" 2015 3 12 11105 6
"5067" 2014 1 5 48932 1
"5068" 2015 1 2 8528 8
"5069" 2014 1 1 48143 2
"5070" 2015 1 5 76572 3
"5071" 2014 3 12 58302 132
"5072" 2014 3 11 4381 10
"5073" 2014 3 10 48241 2
"5074" 2015 1 3 19332 8
"5075" 2014 2 7 8682 46
"5076" 2014 2 8 1653 4
"5077" 2013 3 11 8889 12
"5078" 2014 2 9 11604 101
"5079" 2013 1 4 45470 295
"5080" 2014 3 11 11935 20
"5081" 2013 1 5 9393 347
"5082" 2015 3 12 13229 3
"5083" 2013 1 1 48240 79
"5084" 2015 3 11 41277 14
"5085" 2015 3 11 45605 60
"5086" 2013 1 2 10122 1
"5087" 2013 1 1 9766 5
"5088" 2013 1 2 6192 10
"5089" 2015 1 5 14225 19
"5090" 2014 1 3 18021 3
"5091" 2013 3 10 52088 10
"5092" 2013 1 1 8555 11
"5093" 2013 2 7 8862 202
"5094" 2014 2 6 9216 4
"5095" 2014 2 6 14958 8
"5096" 2014 3 11 15052 91
"5097" 2014 3 12 13502 2
"5098" 2013 2 7 14604 4
"5099" 2015 3 11 11662 169
"5100" 2014 3 11 48995 19
"5101" 2013 2 6 73369 1806
"5102" 2013 1 5 9055 84
"5103" 2013 2 8 19686 128
"5104" 2015 1 3 19441 6
"5105" 2015 3 10 76169 2
"5106" 2015 2 8 12144 50
"5107" 2013 2 8 19397 10
"5108" 2014 1 1 8773 69
"5109" 2014 2 7 48968 3
"5110" 2013 1 2 14559 2
"5111" 2014 3 11 8709 5
"5112" 2015 3 12 8088 9
"5113" 2014 3 12 47047 13
"5114" 2014 3 11 18381 24
"5115" 2014 2 6 11105 2
"5116" 2013 1 1 74738 3
"5117" 2015 2 9 10797 9
"5118" 2015 3 10 18353 2
"5119" 2014 2 9 48959 14
"5120" 2013 1 4 1746 2
"5121" 2014 3 12 12580 5
"5122" 2013 1 3 9064 11
"5123" 2015 1 5 9694 16
"5124" 2014 2 9 19344 24
"5125" 2014 3 12 31126 138
"5126" 2015 1 1 9795 2
"5127" 2014 2 9 8962 30
"5128" 2014 3 10 10368 2
"5129" 2014 1 4 12346 1
"5130" 2013 2 7 13791 46
"5131" 2015 3 10 8283 1
"5132" 2014 2 6 12044 3
"5133" 2013 1 1 19733 2
"5134" 2013 1 5 17820 1
"5135" 2013 2 8 74774 2
"5136" 2013 1 5 20522 113
"5137" 2015 1 4 53139 39
"5138" 2015 2 7 9764 109
"5139" 2015 2 8 41650 4
"5140" 2013 1 5 6064 25
"5141" 2014 2 6 41659 2
"5142" 2013 2 9 52282 1
"5143" 2014 2 8 35089 2
"5144" 2014 3 11 22606 12
"5145" 2014 1 5 17826 1
"5146" 2013 2 8 48302 2
"5147" 2013 2 7 34913 274
"5148" 2014 3 10 17212 287
"5149" 2015 2 6 11635 30
"5150" 2014 2 8 8809 267
"5151" 2013 1 5 41896 40
"5152" 2013 3 11 12556 14
"5153" 2014 1 4 9721 32
"5154" 2013 3 11 11717 16
"5155" 2015 1 4 74802 1
"5156" 2015 2 9 19765 90
"5157" 2014 1 3 10358 1069
"5158" 2013 1 1 34240 86
"5159" 2014 3 11 40027 53
"5160" 2014 2 8 11952 3
"5161" 2014 2 6 8005 4
"5162" 2013 1 5 34943 110
"5163" 2015 3 12 20385 62
"5164" 2014 1 3 12820 7
"5165" 2015 1 3 8552 9
"5166" 2014 2 9 19633 11
"5167" 2015 3 12 9502 11
"5168" 2015 3 12 73246 72
"5169" 2013 1 2 36511 7
"5170" 2014 1 3 15336 1
"5171" 2015 1 5 50690 673
"5172" 2013 3 11 48285 176
"5173" 2014 1 4 12237 117
"5174" 2013 1 4 52320 5
"5175" 2013 2 7 9463 9
"5176" 2013 2 7 9675 910
"5177" 2013 3 11 1335 4
"5178" 2013 3 12 9769 527
"5179" 2015 2 9 11195 24
"5180" 2015 1 5 20763 107
"5181" 2015 3 10 15050 16
"5182" 2013 3 10 8653 2
"5183" 2014 3 12 9775 101
"5184" 2015 1 4 12243 7
"5185" 2015 2 9 48959 30
"5186" 2013 2 7 31126 102
"5187" 2013 3 11 8202 100
"5188" 2014 3 11 32158 1
"5189" 2015 1 4 96754 4
"5190" 2013 3 10 11278 1
"5191" 2015 2 9 9695 44
"5192" 2014 3 12 52288 61
"5193" 2015 1 5 11005 8
"5194" 2015 1 4 35091 2
"5195" 2014 1 2 16142 3
"5196" 2013 3 11 10329 1
"5197" 2015 3 12 8589 29
"5198" 2013 2 7 10362 2
"5199" 2014 1 3 15024 -19
"5200" 2015 1 3 11200 169
"5201" 2013 2 8 15046 48
"5202" 2013 2 8 9828 21
"5203" 2013 2 7 12088 40
"5204" 2014 1 2 17055 729
"5205" 2014 2 9 10665 1
"5206" 2015 3 10 10410 180
"5207" 2015 3 11 49034 7
"5208" 2015 3 10 75459 5
"5209" 2014 3 12 48149 1
"5210" 2015 2 9 8281 88
"5211" 2014 1 5 74737 -1
"5212" 2013 1 3 8048 5
"5213" 2015 2 9 70001 167
"5214" 2015 1 3 9786 150
"5215" 2014 1 4 36399 37
"5216" 2015 3 11 23255 7
"5217" 2015 1 5 20448 71
"5218" 2014 1 5 48374 2
"5219" 2013 1 1 40483 12
"5220" 2014 1 2 41658 9
"5221" 2014 3 12 9463 6
"5222" 2015 2 7 73033 86
"5223" 2014 1 1 8272 2
"5224" 2015 3 11 53362 2
"5225" 2014 1 1 34240 21
"5226" 2013 1 1 12382 4
"5227" 2013 3 12 19736 19
"5228" 2014 1 3 11669 12
"5229" 2014 1 1 73035 1044
"5230" 2015 2 7 8662 10
"5231" 2015 2 8 48211 49
"5232" 2014 1 5 76572 5
"5233" 2014 3 10 19336 9
"5234" 2014 1 2 22508 11
"5235" 2013 1 2 45877 2300
"5236" 2014 3 10 41288 69
"5237" 2013 2 7 11066 77
"5238" 2014 3 10 9658 72
"5239" 2014 1 5 11915 17
"5240" 2014 3 10 30906 105
"5241" 2013 3 12 15096 137
"5242" 2013 2 8 31591 449
"5243" 2013 2 9 51080 240
"5244" 2013 3 11 92298 5
"5245" 2014 2 7 71530 50
"5246" 2013 2 9 71200 108
"5247" 2014 1 3 9883 9
"5248" 2013 2 6 8795 2
"5249" 2015 1 3 9677 5
"5250" 2015 3 10 75880 2
"5251" 2013 2 8 9699 144
"5252" 2015 1 3 18021 9
"5253" 2014 3 12 31810 72
"5254" 2013 1 2 9730 9
"5255" 2015 1 5 52293 14
"5256" 2013 1 5 7057 12
"5257" 2015 1 1 8773 9
"5258" 2013 1 3 9462 28
"5259" 2013 1 5 74737 1
"5260" 2015 3 12 8901 3
"5261" 2014 1 2 9730 16
"5262" 2014 3 12 58328 50
"5263" 2014 2 6 72851 18
"5264" 2014 2 7 10783 25
"5265" 2015 2 6 9216 1
"5266" 2014 2 8 49121 10
"5267" 2013 2 6 10913 4
"5268" 2014 1 4 96754 4
"5269" 2014 3 10 48971 206
"5270" 2013 1 5 34342 71
"5271" 2013 2 8 11926 29
"5272" 2013 3 10 11072 6
"5273" 2014 1 5 9502 10
"5274" 2014 2 9 16015 40
"5275" 2014 3 10 52280 25
"5276" 2013 3 10 9864 152
"5277" 2013 3 11 15052 31
"5278" 2015 3 11 15177 8
"5279" 2015 2 6 32800 1
"5280" 2015 1 1 8272 1
"5281" 2013 1 1 12070 74
"5282" 2013 2 6 36598 4
"5283" 2014 1 2 31479 179
"5284" 2015 1 1 39885 50
"5285" 2014 1 2 14559 6
"5286" 2013 2 6 51809 3
"5287" 2014 3 11 11036 3
"5288" 2013 1 3 48257 3
"5289" 2015 1 2 28073 6
"5290" 2013 1 4 9721 22
"5291" 2013 2 8 36506 1
"5292" 2013 1 3 8045 9
"5293" 2013 1 4 11026 2
"5294" 2014 2 6 8795 3
"5295" 2015 2 7 96313 0
"5296" 2015 3 12 10581 7
"5297" 2014 2 8 11640 2
"5298" 2013 2 7 9652 1
"5299" 2013 3 10 34103 21
"5300" 2014 1 1 19636 3
"5301" 2015 3 10 10407 14
"5302" 2013 2 9 12282 9
"5303" 2015 1 3 9391 871
"5304" 2014 2 8 12347 1
"5305" 2014 3 11 73260 53
"5306" 2013 2 8 10406 7
"5307" 2014 1 2 41655 24
"5308" 2014 1 2 45877 2050
"5309" 2013 1 3 491 1
"5310" 2013 2 7 8945 92
"5311" 2013 1 1 52256 1
"5312" 2014 3 10 50674 100
"5313" 2013 3 10 15005 8
"5314" 2014 2 6 31609 2
"5315" 2013 1 2 17055 796
"5316" 2013 3 11 19689 2
"5317" 2015 1 2 48216 1
"5318" 2013 3 11 8912 198
"5319" 2014 2 6 12127 17
"5320" 2015 2 6 11841 20
"5321" 2014 2 7 52277 110
"5322" 2014 3 10 8868 179
"5323" 2014 2 8 74800 60
"5324" 2013 1 2 95031 -1
"5325" 2013 1 5 8663 20
"5326" 2015 1 3 9989 22
"5327" 2013 1 4 58374 59
"5328" 2014 2 6 8901 4
"5329" 2015 2 6 50819 1522
"5330" 2013 1 5 10784 14
"5331" 2013 3 12 14412 140
"5332" 2014 2 6 36598 5
"5333" 2013 1 1 11864 39
"5334" 2015 1 2 10941 11
"5335" 2015 2 7 10783 3
"5336" 2014 2 7 63054 90
"5337" 2013 1 4 15357 2
"5338" 2013 1 5 11995 4
"5339" 2013 1 1 9325 324
"5340" 2015 2 6 12382 16
"5341" 2014 3 11 8792 18
"5342" 2015 3 12 13432 36
"5343" 2014 2 7 11679 6
"5344" 2013 1 4 8175 74
"5345" 2013 2 7 73147 106
"5346" 2013 1 3 10358 1062
"5347" 2013 2 9 19464 115
"5348" 2013 1 3 31606 203
"5349" 2013 1 5 9851 167
"5350" 2015 3 11 41649 15
"5351" 2015 1 2 49524 20
"5352" 2013 2 7 8779 146
"5353" 2015 2 7 12821 47
"5354" 2015 2 7 13743 12
"5355" 2013 2 9 75070 4
"5356" 2014 3 10 20524 1
"5357" 2013 1 1 48950 8
"5358" 2015 1 3 11260 5
"5359" 2014 1 5 16243 3
"5360" 2014 2 8 20379 15
"5361" 2015 2 7 48931 48
"5362" 2015 3 10 76083 8
"5363" 2013 3 12 8873 20
"5364" 2014 1 4 41649 3
"5365" 2013 2 8 17213 3
"5366" 2015 1 2 47031 5
"5367" 2015 2 6 21433 1
"5368" 2013 1 4 10402 27
"5369" 2015 1 4 38260 250
"5370" 2013 2 9 8661 9
"5371" 2013 1 2 94802 1
"5372" 2015 3 12 10518 211
"5373" 2015 3 12 9731 6
"5374" 2015 3 10 12923 23
"5375" 2013 1 1 73275 545
"5376" 2014 1 2 18386 32
"5377" 2013 3 10 8075 1
"5378" 2014 2 9 9649 8
"5379" 2014 3 10 39814 113
"5380" 2015 1 5 8543 8
"5381" 2013 1 3 13163 15
"5382" 2014 2 6 8589 56
"5383" 2014 2 9 16204 3
"5384" 2013 3 10 11902 34
"5385" 2013 1 4 8284 155
"5386" 2015 1 2 10795 36
"5387" 2015 1 2 50735 645
"5388" 2015 1 2 16062 45
"5389" 2015 2 7 12930 1
"5390" 2013 2 6 18015 13
"5391" 2014 1 3 13836 -1
"5392" 2015 1 2 11923 55
"5393" 2014 3 11 73369 1076
"5394" 2014 3 10 9346 29
"5395" 2015 1 1 28484 70
"5396" 2013 1 5 20293 2
"5397" 2013 2 8 8617 179
"5398" 2013 3 10 8281 70
"5399" 2013 1 5 58335 300
"5400" 2013 3 10 70001 116
"5401" 2013 3 12 9294 5
"5402" 2015 1 2 15435 80
"5403" 2013 1 3 6608 1
"5404" 2013 1 2 48307 5
"5405" 2013 1 1 50473 6
"5406" 2015 1 4 13345 5
"5407" 2015 3 10 52093 82
"5408" 2013 2 6 11540 850
"5409" 2015 3 11 9375 46
"5410" 2013 2 6 48563 6
"5411" 2014 3 11 30120 15
"5412" 2015 1 4 9916 5
"5413" 2015 2 7 18383 21
"5414" 2013 1 3 87295 2
"5415" 2015 3 12 12439 31
"5416" 2015 2 8 28211 18
"5417" 2014 1 4 20212 1
"5418" 2013 2 7 10588 1
"5419" 2014 2 8 9184 11
"5420" 2014 1 1 1843 212
"5421" 2013 2 9 10808 0
"5422" 2013 3 12 8163 5
"5423" 2014 3 10 11049 6
"5424" 2013 1 5 47077 33
"5425" 2015 2 6 78562 -1
"5426" 2015 2 6 12070 63
"5427" 2014 2 7 9764 143
"5428" 2014 1 2 9046 16
"5429" 2014 1 4 8559 24
"5430" 2014 1 3 9402 4
"5431" 2015 2 7 15051 32
"5432" 2013 3 10 41657 1
"5433" 2015 3 10 76086 24
"5434" 2013 3 10 19765 48
"5435" 2014 3 12 73124 5
"5436" 2013 2 8 12862 20
"5437" 2015 1 2 10403 31
"5438" 2014 1 1 9397 2
"5439" 2015 2 8 11952 6
"5440" 2015 1 2 19766 128
"5441" 2013 1 1 58336 20
"5442" 2013 1 2 8087 27
"5443" 2015 2 6 52293 7
"5444" 2015 3 10 74981 4
"5445" 2015 2 8 19950 5
"5446" 2014 1 2 47088 2
"5447" 2013 2 9 8292 305
"5448" 2015 1 4 8811 873
"5449" 2015 2 6 8555 3
"5450" 2014 3 10 11158 32
"5451" 2014 2 7 92440 1
"5452" 2013 3 12 31638 13
"5453" 2013 1 2 9870 15
"5454" 2015 1 3 10158 2
